Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236012,21996105,13384041,1395246,2526665,3747081,3050261,2642006,5468701,12767548,4541095,5163416,6774300,5427545,17423899,3160107,13127713,17582140,5068000
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18705509,100742503,46036450,77707720,27320120,49487873,14321029,47123149,22107625,21847310,39877445,2660001,6947220,10083739,1596328,2223655,1090133,1146818,944047,408371,392952,404586,406621,585110,745619,539394,1802086,19024175,2523366,10884712,4521507,,48069,884245,1633246,2573792,2554000
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33651,15000
"Korea, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7223,,,,,,,,
"Korea, South",,,,,35195323,46808428,12027940,29466365,87935618,398535347,3129510106,2423113748,670634722,1177777223,1911319616,1542298183,1643902299,1236464167,918287549,703951336,1324145403,1499988992,2210235777,2819930943,1682880462,3060089085,3206563185,1522533461,628965306,490140879,1041459614,468588214,785161941,596871070,314729937,357428003,344790237,367682845,440301195,426821706,295860844,3510396,2783594,2392041,1884827,1492480,1148298,395283,29777,13885,12260,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188981,3263128,5678000
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70898,83311,314678,1413809,2226852,2519724,1735773,5084056,27763552,5980954,6007140,9445583,9029412,16805906,28076615,6162492,15356075,16197000
Laos,,,,,,,,,,,195493922,60093469,96101232,50491433,121364376,279669413,363880209,23548733,148445525,289132957,384760114,449424038,444449131,478779203,668528426,905363911,1236230448,1187193809,257067357,43250599,,,,,,,,,,,,,,,,,,14479,,,681121,,,,,,25798,,,,,42728,65770,107031,72401,200000
Latin America & Caribbean (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7375626,24196,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68069,163615,490171,1626540,6965245,2721950,10171402,7076867,6226454,7530817,8964188,12449487,9772757,7228043,7988995,5315336,2651692,2652094,3671019,3928000
Lebanon,,,,,,,,,,,,24525312,19360595,8894992,3593406,264605,220065,422926,325080,456478,407739,259808,496708,385068,370053,20204841,40345578,2848167,663270,610835,394047,75849695,1305821,113063266,54013983,44655152,21686809,200077849,29427377,1229206,807533,835558,651768,576770,182809,,,855723,431058,11308797,7645722,3637541,726434,722156,743903,681870,697774,842727,821931,919995,34065013,9712026,8789210,63473078,2549319,79586000
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84081,100141,86597,94557,469152,190890,188230,,44433,98081,101655,99059,96461,109924,97410,117934,62603,,,54990,114297,186871,253169,180492,186000
Liberia,,,,,,,,,,,4018375,3420636,6266,216198,1220172,5731103,8992921,734246,2496151,6151037,3429473,4194812,3456042,2655467,2429063,3027112,10220132,855690,435753,6603998,5845573,1808975,1950216,3790667,8825309,11637896,15619274,12355130,1445722,24216104,1492766,469454,336068,361094,,,,,,,,,,,,,,,,31814307,24640067,59318984,96539333,54025748,18202134,13186000
Libya,,,,,,,,,,,,,8897102,3928621,8821841,5412374,9195142,6602339,12608466,13146557,13779334,10321944,6279435,1635288,649964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10291,478252,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106543,214293,212693,1622575,4647191,2765555,13178053,7198294,7058079,9096391,9351157,14074867,9078813,7557831,6306291,6989197,2748781,2841456,3874964,4137000
"Macedonia, Former Yugoslav Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173565,1360880,2630996,28009084,9621149,644205,17683672,13610283,15147417,10332845,6710617,5448442,5004492,3552641,3615370,5517745,5745000
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33493,94988,3873472,138486,140136,128996,142150,849433,323396,223445,396731,,,138949,151145,192835,149906,204509,556986,255523,251614,391004,1368052,825955,459324,417589,60719,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43451,46147,137805,291590,349557,2189754,336322,276768,1128713,352924,2400160,370463,193849,156376,177244,173565,209785,1066041,1563815,432772,440973,484553,472963,375615,487288,582246,654385,539438,450996,427093,305918,400000
Malaysia,,,,,,,,,,,,,,,,,,,,462184,23397499,63707016,956817,825145,806525,10048203,45673507,42065239,72986722,15092857,56423617,109905092,48525454,21068016,17561303,22627533,21577799,9078686,20631460,1751803,1534132,1599297,1442716,1522802,1492417,,,,450910,699815,835055,844005,1240222,1190123,1110742,1747137,1426260,1409762,1803551,9276140,3164144,2035979,1604587,1859656,1604031,2863000
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29553,43695,42323,55754,52551,49222,58821,72493,74396,155375,147688,,69426,108979,113693,133400,122532,127818,137373,153559,167342,212528,3851696,190267,180525,175387,149225,207005,268000
Mali,,,,,,,,,,,,,,,,7336774,1153854,405304,539865,2510627,4708544,357236,,5001,213492,27108,392584,16535,,,,,,191766,243806,230736,203622,240365,273566,268659,264381,246989,239321,272863,253727,371981,327028,1368289,190006,226329,211148,203310,2476481,1269639,345110,693110,420139,372004,,,,54478,247422,442530,623053,597000
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515055,,,,,,,,,,,,122543,44126,34921,16277,76740,25523,80534,40867,139107,120192,533144,703001,3907642,362400,6371017,,,5499,165570,228630,790380,1926265,552000
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60719,34671,45000
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57135,59647,112301,140583,110408,107911,105102,161245,189533,168626,127536,,,,,,,,,,103654,159702,157710,271237,127366,,611007,437425,926226,415029,1434000
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,4518,,,,,,,,,,,,,,,,,,,,986889,136138,94115,,,,29426,83210,123835,100977,107401,114248,132429,169083,122818,426725,314049,155552,195537,152959,455000
Mexico,,,,,,,,,,,,,6266,3088539,16899378,4023198,4300186,2936983,1462861,1049899,1401951,449251,564679,7436308,422239,20240985,8654109,45471,119543,383953,325659,357553,326455,454460,292085,221946,168657,120182,303963,393788,338121,450185,291938,400307,18123337,1337614,25614746,1043954,285009,555409,3234562,63077014,31459892,28330932,24654885,28452229,23645701,17958514,12880830,12387520,16688465,16626449,13078896,70023733,97881594,93680000
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30275,,542495,129000
Middle East & North Africa (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22693963,20896325,22432087,25888447,27786787,26512912,26000000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80823,147183,371892,1428522,5231728,2261625,2220205,4901724,4163304,2508147,2584385,1694428,1632113,1559564,1158810,1208211,2960058,2395000
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159815,156376,70898,136075,95357,488212,561336,559215,1101794,3848946,3299686,2536609,3365220,4105292,4216658,5222404,1998165,2071659,5614619,3993000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974596,1629524,1927000
Morocco,,,,,,,,,,,,,,,4258399,45764632,43626370,29880870,13786881,72231886,61138464,94201946,9149885,59950544,3766945,71082907,68257885,41077268,13685733,51735968,100605726,93281913,125080645,120684004,62568932,75597980,63955931,150267228,76558675,90913436,4364992,23607585,89755632,86487655,69440748,62119360,34084925,78180638,46685923,5813608,32906179,7820373,7138924,11193067,6486625,11247537,10007734,22294261,20917183,28406411,20023672,28942574,17059695,18501431,16373632,15099887
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132091,273757,254835,1064353,237671,548984,272864,235101,239850,227517,249769,187957,284119,285327,960934,896342,1224151,294400,442530,458877,1692000
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4843348,469086,1303132,311950,549855,803723,251463,268120,189012,223682,241027,255523,210682,,,,32046,60550,158488,142762,204000
Nepal,,,,,,,,,,,,,,,,,,,2240731,1289549,1893472,4579111,67971,65011,23721,54217,103539,136414,96406,97734,133520,87873,181679,133974,62762,136244,178941,145795,205175,224496,154672,182176,169731,161757,193841,299103,264878,215741,348817,133298,190714,262163,1315507,898133,276088,1041538,17661796,4394220,5308499,1850224,700577,841737,890509,764651,1729458,1908000
Netherlands,,,,,491131183,3053267019,2486867461,621118473,67948046,448558405,114516978,51625782,474572670,379834683,364806927,208641020,61820381,158655847,13891371,5791560,335128,151554,,,,,,,,,,,,,,,,,,,,,,,,,,,,184674,,,,,,,,,77496,73918,,40591,,58661,,
New Zealand,,,,,,,,,,,,,,,,,,8810950,,,,,,,,12650616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,3213525,687130,863951,1607053,1710499,716541,2037687,3024916,11395791,7136870,7581333,7919888,7182904,6018879,5918669,4075717,5764280,7305731,4370196,12235958,7581333,14935785,11684632,9732711,1132658,28896,,,,,,,,,,,,,,,,,,76241,100380,1890119,268419,420861,1305870,2168703,2299058,1427186,2034642,4966037,4491173,6597818,3107109,4135000
Niger,,,,,,,,,,,,,,,,,315228,17622,,,,,31371,,,,,,,,,,,,,5515695,4786154,2776013,368555,9574194,388479,422158,2118247,388870,3432402,4576129,1448691,1374080,283591,262431,14985,,,,,127382,162159,124001,,2137936,318944,61955,103353,64836,,66000
Nigeria,,,,,,,,,,,,,,,,,29738,252581,3303046,1540612,1826446,1098770,88885,145026,227725,908133,422783,,,,,,,,,,,,,,169060,166411,152758,160123,157594,311250,559351,201262,,,,,,117318,13452883,20265039,8292211,115574,,1421500,2197414,2024229,2245586,3356026,2922539,10915466
Norway,,,,,569374297,1858917712,568243511,427794473,136436297,376547190,285974323,93389807,90180273,144370659,288704820,383761400,269662713,180207432,207946801,197472241,189816330,100561822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552039,,,,,,,,,,,,,,,,,,,,,,,,,72401,30000
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60377089,54941593,61866230,59269556,76226216,73840715,16512151,54303,169731,116007,258455,4879787,883420,1581134,264015,181896,927823,894548,5873400,1179417,322102,424608,31397383,98275220,30153119,28665400,20101165,15597778,6390160,8683886,10576613,14622000
Pakistan,,,,,,,,,,273484575,1117101430,449671598,547860981,377160009,236890230,267684011,564228441,300406417,192743500,79564058,8635124,27063303,26707207,515091,891922,750001,427097,1235997,894644,900545,1309148,939334,1552792,1218898,,,1180598,513783098,571392656,599828837,561049841,549261294,442713657,377305314,291352342,,3773403,,,,,,,2678755,1197658,178585,93934170,318036914,101661017,367319400,359800072,372802901,448839090,495045228,945660747,673185000
Panama,,,,,,,,,,,,,,,,511169,3871952,2255603,1352566,1380845,3083175,2565601,1129357,1415249,4848637,7052718,3024193,3158200,3555437,1944200,2562934,9469091,1283111,3664574,659001,720776,11024402,10769119,10359425,19452008,7803749,973942,,,,,,,,284617,,3416148,3755005,4700531,2163965,9273937,1961144,4543503,5002388,3251255,6396378,4422326,4533976,5431802,7982426,10821000
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19311,17580,34965,41374,83590,99367,71941,106853,67893,78428,66190,217116,143537,144792,70898,173565,220683,148470,228497,203351,226239,199816,253066,308197,342863,335474,316744,257435,260993,250081,323254,177000
Paraguay,,,,,,,,,,,,,,1964311,445363,2591926,5269661,8294041,7198203,16324783,10941919,5196154,7000969,5791018,5607720,18375019,11531622,8060851,9085260,3598690,8206598,1927149,1757181,23642,7242,,18511,108361,142482,172972,152874,183928,200283,334951,334100,182195,735444,590739,126198,186062,216276,1643871,972101,662193,495935,1421188,869761,1005253,399224,554954,1336265,1776408,2663176,1709402,2655370,1190000
Peru,,,,,,,26380188,38471532,15922185,30859004,54241359,81585387,66239550,49496923,15429071,116780998,124092787,96708992,55048839,69002306,56368479,27864377,7847987,2715478,2633066,2286147,3981926,2984582,61475898,74347330,68424139,33288780,24921315,14180193,7939399,9400853,10187288,8838322,20299001,15688944,967600,250492,641584,76794,1791846,9493874,165734,,,451270,4555585,57000445,36245113,42069100,14452423,14374228,16339496,12448283,10699191,8256072,13128391,8575466,11524717,10349035,24366386,13011000
Philippines,,217854406,378801400,455033988,132123243,174311322,347876253,115540640,42939342,82448718,222209416,79055407,193844042,154606077,212950461,257977819,92427238,129750056,131988343,130204550,137368845,177161795,155532360,106163671,128469916,80959423,88288308,204282623,101707867,119842311,134298370,111250461,103449432,84237913,181947172,164912679,106696057,102286924,99173491,50055201,4384776,16811011,216261494,4140323,240775624,296763651,46369940,25395150,1243830,2975201,1648672,1732150,1687969,13697889,6165651,8075657,69357869,65160139,44688379,43501312,41096472,46841403,33731818,37984094,36254368,26332698
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532920,1052113,990380,992569,2425749,23833794,18173531,166443286,10403477,92948641,16974327,50610990,4611007705,41329030,102332211,35017841,32606641,30327421,30070450,56729673,36022000
Portugal,,,,,,686926661,606701547,430637473,69914945,37105015,43532391,84418706,7117682,94410455,143748425,59415843,41616048,35349533,22987810,6133919,22889222,5212392,2776337,10846908,5095339,4115968,32243675,4133770,2903736,1591661,7604129,95724181,71368810,80799255,79804356,116400935,117944650,157643660,110363113,235521849,81434887,4335444,144378573,167622626,137132200,153066513,151076687,132359307,115755163,4671048,30499282,4113913,64335678,14434254,888217,883512,884503,1023311,3782879,933641,652185,593916,781936,488842,96874,93000
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447409,442402,6661200,13667379,9927427,19803922,9921171,9321793,22736507,12722095,31964638,12297259,17040942,15723935,17012068,15323439,14043648,15430515,15435000
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221065,24775867,39750204,84322447,62086737,24190147,51253866,67859015,145280351,115581425,79535917,68626286,84060773,85354572,174939123,134179439,78548554,77227284,89494453,41575219
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125524,3368749,10284,122152,3800,123289,134889,175169,127299,161757,381378,368945,115422,964318,106347,485983,875922,480187,713808,409309,209622,,,195031,349908,8581311,313445,698599,408194,437385,726046,859000
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69500,21269,66649,107617,127069,126796,136871,108646,109899,138818,91496,,,,41660,17748,52486,36710,113000
Sao Tome & Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95321,75323,84866,89865,464903,221670,371421,528492,,40267,102168,96305,97738,112104,57518,126134,137589,818649,220747,220617,454220,235003,130497,575289,577166,262000
Saudi Arabia,,,,,,,,,,,,31172963,254632551,102595083,14532245,45656385,38267494,39414318,19533834,7166699,409782982,466398142,160802694,2680471,2329433,57750061,1850754,739945,651702,129148,,,,,,,,,,,,,,,,,,,,,,,,,,,29483,26486,28180,,,,,11321,7138,4000
Senegal,,,,,,,,,,,,,,,,66151,11241151,1415626,545670,992839,1804104,37889,,35006,75908,,,78542,26994,118676,94441,24331777,150453,302097,391056,399943,643776,606822,906188,6506698,865085,853075,2018106,717286,3711344,8482692,20857299,11146874,638080,1355198,867748,3560605,6786218,4491966,1100346,4704983,3094530,3442390,2553856,1741053,2482208,3640247,1918256,1350232,3826867,4667000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80115,279785,1733072,1940541,2789000
"Serbia and Montenegro, Former",,,,,,574905414,1657673981,1166484300,891309934,395731857,104959943,248964188,27017115,12354,6101,,1784310,1174793,5224502,,,,,,,,,,,,,,,,86901,54937,312632,189139,125385,184013,97120,84081,113720,58821,40975,129055,,,,,25269598,18458433,38501022,49599335,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31282,35970,68316,22065,,137107,616426,192370,344606,,13885,42230,66878,104342,134264,345110,74931,49139,63806,115070,4859256,410228,241412,103353,100856,120328,629000
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45249,61076,75991,110408,106112,120867,120509,125811,642984,4510843,219005,411211,,72203,182540,4013,,2199056,485710,162350,217440,430995,839544,303632,452021,411255,418633,999295,1042161,1620000
Singapore,,,,,,,,,,,,,,,,,,,,,,,67970575,30005277,,,8196813,,,,,,,,,15382,96669,84719,104487,92006,84530,71819,79774,78428,74069,28848,22196,28958,14180,27770,27245,,,,,,,,,,,,,,,43000
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185334,419715,365297,5477577,8856035,5046738,4983397,4388004,14832555,11172987,18564074,9015407,6769752,5411048,5116652,2197564,2085038,2257676,2347000
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118730,160229,208278,889544,1872595,4165771,4009660,3296436,7691648,5929852,5941226,3433322,2770219,1527631,1390789,1274691,1231881,1302192,1460000
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49394,53364,14388,38537,39038,39214,59886,65287,19237,28958,11344,140241,115791,195285,161136,204654,67744,77429,179357,181788,52838,164894,163871,44864,60550,76156,35690,39000
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48278497,44732064,21483187,10974019,1943461,62739214,1694200,1082547,10839044,1225431,,,,5958210,5317332,,,,,,,,,,,4369122,,52982454,,277328604,104012195,75300000
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147467,412391,11684500,877444,1524191,1723267,1475024,2747463,10037875,8677681,,,16497,50205,911389,1197919,1677452,1700000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42633000
Spain,,,,,,,,,962665425,83080877,1056832509,385750890,76314579,124338397,335351983,262079196,243118134,186369223,197544237,45796122,130783585,103051646,145964195,10861910,194410436,113055843,345711388,238778930,98823413,8670365,1960465,404807445,382511953,432498517,304195569,275266127,262362262,793451156,765558253,741327431,692564332,188876448,4126169,3083184,3080967,2288065,1373223,347502,69480,72203,66750,,,,,,,,1174,,13198,166638,10440,12350,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,1793377,395069,208748,13237966,,934232,46275,,,18181,176002,63046,50692,147232,4323376,189139,273566,272339,282367,269761,274965,266327,296277,364390,331468,561795,141796,133298,243841,267514,282649,7231726,259471,314709,318175,4352083,3576573,8787144,1667307,1567042,629516,411656,1765148,1950000
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60793,47843,57552,92840,103536,76794,882528,948932,830149,361981,114854,109693,170280,218024,417370,297205,258193,407124,432423,438218,752654,334337,314545,308708,84562,167750,2294387,405000
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4395,16454,27583,79790,88326,86329,61309,32249,71892,855737,869981,802033,954182,321876,119413,160745,197960,475484,461450,442252,398382,449622,453869,803144,319553,475116,307640,75166,1764976,617955,388000
St. Vincent and Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,61076,83590,93847,91724,85833,72984,71892,851009,944377,849386,221532,126198,111082,168918,258151,377746,265920,258193,274746,208841,,,,,71569,80386,352995,2036396,337000
Sub-Saharan Africa (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091940,,,,,,,,,,,,,,,,,44600984,47054125,14687676,10355170,18009955,30389916,25940000
Sudan,,,,,,,,,,,,,,,61009,42096,226013,182093,179955,1780263,748452,8828050,,,,,,45471,53987,,,251499,598975,13896484,61354728,70840418,181219782,2358331,2748962,85341524,1548520,1657103,1272985,251622,,,,,,,,,,,,,,,,178886109,164759824,395334559,230879892,39807146,56023824,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36209,39555,39079,,,77285,61149,,,,,,,,,38879,217959,199298,108305,130353,198118,161101,390655,596302,416836,350258,417926,307640,242202,610280,1507157,2635000
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94988,92006,75538,113860,88260,99668,86677,194341,267838,212845,,79146,68112,113693,122833,118621,134209,122387,103192,120390,153818,332062,245257,262776,167036,324179,170294,199000
Syria,,,,,,,,,,,,,,,,,,,92880,114119,106124,32476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9408896,1024515,2758165,11909896,7341209,7309656,27290503,2352615,16865272,8288000
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28854,94767,220632,91097,241202,401075,161647,112470,171643,6688,244346,235939,213457,267253,337831,252818,,3516222,,70501,313192,488842,1118641,955000
Thailand,,,,,75865475,346389785,225265417,170096830,294335340,313317496,305362980,104258393,89591310,101267011,246499082,366429775,466341215,378583043,208939457,173706872,288019917,376937687,469577330,482154797,502559850,427351356,513159343,255826595,133197780,140987669,335164624,142315141,107480445,84826346,93061631,119745512,156836519,154826273,182776498,188280205,148666913,4030649,77414466,3566821,8746480,1030920,,3386696,1269070,3192213,1968440,2140108,8501837,4085265,17980210,20529658,17679184,17649113,8398959,14184296,9390149,2858489,5217778,7358353,5807348,4682000
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11731774,,,52824,2539016,3028228,2931702,1299971,778714,132585,277868,818841,297000
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69693,,,72418,70320,74044,96540,58893,68085,91724,126122,105233,166659,457023,431195,,,,,,33439,,,,64940,101963,163730,474372,15921,260654,86524,109617,152313,228419,668000
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56993,86486,68344,77075,56011,45749,53582,124500,82867,88323,21269,69426,115791,140445,130758,129050,131653,124885,141275,152895,746783,441234,397030,664417,683802,708049,704632,277000
Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71765,89926,113860,89958,16339,1090552,857834,796114,867307,249560,131910,521739,759738,2146804,494038,1549159,1217626,864847,845135,173780,131915,118779,168775,235938,237731,1048280,883000
Tunisia,,,,,,,,,,,,,,8030201,7931116,41061880,42246504,9609810,2530981,1723203,4468369,45785696,15146981,19458422,18061412,24628038,18227124,9168701,16766855,24953477,83651937,76931444,73631287,55304855,37763440,34340144,197844828,173726411,177715522,122394370,21774601,2560977,47796346,51307980,49323844,17647097,16462394,17025571,2533489,9502529,8939370,3014708,43780410,9585698,9135115,10732590,12278615,7704933,15381613,13950032,11284015,10997064,10498194,14889601,20713723,19074000
Turkey,,,547511267,642899120,862668657,1261068008,1350337660,1167310591,2360278685,153855258,1269123237,587645841,968831744,1297470457,834066650,911600207,1117745077,1072069455,704181640,837277052,833831234,1015653293,900730371,896052589,859560946,965752529,958319648,999752163,751338669,370623184,407073310,378763656,497075059,476778127,498009595,555241471,712443768,577201897,1117512724,1294157522,741937121,317610221,837557984,709374249,789895401,964693289,744748359,705160665,584922803,501410196,589140505,236956162,7559588,20311686,4716873,2293707,87949090,24565968,46963953,42581317,19659043,19021342,10201706,4444857,5216925,4843000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70898,163846,290158,1019227,1038141,1488632,1656526,2245427,482791,1090730,919388,6779986,641187,4988469,10212146,1340970,10567435,3298000
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57135,113124,137914,113986,11041,,176921,168034,153587,189113,288475,369941,902057,181498,191616,5887612,5760904,5622602,397577,315711,,,1310424,3124511,2589404,428925,409119,651439,4140231,17943123,908000
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113942,548763,66844669,16480963,5086821,8379861,6669988,8217456,5864307,10836245,51409253,8665642,7995039,5492676,13899356,12130418,8445743,10459153,13708195,11161000
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4697,,15397,,,,,
United Kingdom,,,,,403565219,2108908840,2014163009,495767382,459111603,540084109,321456570,214609389,203868945,262636989,459632569,128916745,71782776,47761225,702405,,,,,,,,4314,,,,,,,,,,,,,,,,,,,,,,,12779962,,,,,,,9828,8427,23484,3759583,28595,19228,18792,21612,,2812000
Uruguay,,,,,,,19963386,22407882,15929111,3435650,20078478,16018901,26578526,23707624,28277479,30652080,8564686,11366126,14646021,16581551,28184240,8671082,10080559,10371824,16590690,29665694,28934751,12496385,20869876,31365498,10938874,60602,,,,,10284,114272,186177,149050,187045,320560,280057,290836,321492,757627,4911343,5649033,236799,249101,1953129,472161,1582306,2158646,800143,803009,2099465,2546240,183173,255870,265053,290549,368523,574260,1155351,1099000
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131910,399137,1720112,2650825,2836482,2935988,9111587,50742191,19592201,1359708,53448,,,,,6812799,5222000
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43438,21269,69426,119877,132419,122833,113407,80526,79926,116705,127613,117419,118269,107781,61955,97090,116293,93815,60000
Venezuela,,,,,,,,,,,,,,82155133,50655427,59710517,109128377,86153473,75795918,66805507,66712754,5033774,5291248,4080718,3600896,37481967,41419792,42251258,32268869,2331644,34754291,221198,286713,,,17580,47306,82748,85489,172972,178053,268009,232532,187899,160746,581505,985524,327231,276501,384628,10986622,12760395,14454723,11439784,8742776,9407564,8375748,7595379,1438379,877918,578498,565075,563746,559852,335490,330000
