Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brazil,,,,,,,191791097,448857882,79645554,52909003,56886789,168475986,42818869,135086512,203042667,160927932,234190638,48348622,202594589,76910782,188861216,181318719,189559476,3770663,3686293,54153672,88538527,71989597,178176758,227492357,143439608,139385,,,,,,,,,,,72984,202605,152866,109317,217526,361981,136124,138852,272448,4159835,12642600,1980063,967585,24208819,1588419,1543394,785531,738043,1063513,812896,2266466,986946,1481664,1643000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26099,,,43000
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492762,403971,425387,659284,7926629,5227745,6802067,13522825,7669102,18194451,11930956,24467979,11638540,9608203,12625779,11809960,8622175,9496906,11184370,11310000
Burkina Faso,,,,,,,,,,,,,,,,,321176,11748,,45648,50269,43301,20914,,,,,,,,,,,302097,205184,147232,168657,226573,64592,31282,61149,127874,74682,112740,132379,162457,,,,,,,,,,,,,133857,145562,134176,174116,158684,175983,266149,328000
Burma (Myanmar),,,,,15157453,8901761,,7002,6926,,,,97285424,69541540,70483217,13206194,68184418,56683781,12527196,65042362,19677582,20990298,14383619,415073,498148,185241,,24803,,,,,,,72418,68122,310576,334934,220373,408509,473009,523757,436210,,,,,,,,,,,,,,63881,69826,8219,4369122,197965,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65817,76838,258368,268659,241001,268009,188402,200971,381378,675640,269317,482159,,61095,96719,,,,,,,,,,516909,315117,334071,500162,351806,352000
Cambodia,,,,,,,,,,,183291458,184146370,34266374,19068639,48812968,74474272,66649912,19495696,1712476,,,,,,40814900,905558188,822502765,703216205,1456094172,811010690,,,,,,,,,,,,,,,,,,,1236457,2184146,3273469,1956861,,,,,,,32877,1507927,1936759,2123628,1466782,5481228,2483036,2689000
Cameroon,,,,,,,,,,,,,,,,,1433395,,,,,,,75013,61675,,,,,,,,14193709,5253869,2520138,9719489,3165402,5096910,9681208,9443544,393874,497481,386987,442789,778516,2014772,418774,474919,141796,,113066,139107,187552,239850,241577,278493,237096,548976,423881,552679,572999,447574,297532,946809,1565282,1118000
Canada,,,,,,20028963,,8402956,,,,,,,,54725119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29981,51127,41212,49139,14447,8219,,,,7308,7204,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7881,93089,101207,80933,12262,112023,133980,107164,3206631,525317,241803,,104139,87184,278214,202081,91247,157217,157355,179357,172157,234837,205833,465218,835328,229674,368432,192728,1819000
